#,Date-Time (CDT/CST),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
287,08/02/2025 15:05:44,35.05,47.70,22.31,,
288,08/02/2025 16:05:44,36.58,43.97,22.35,,
289,08/02/2025 17:05:44,37.42,42.14,22.41,,
290,08/02/2025 18:05:44,34.21,45.77,20.87,,
291,08/02/2025 19:05:44,31.66,50.66,20.20,,
292,08/02/2025 20:05:44,29.65,56.05,19.97,,
293,08/02/2025 21:05:44,28.08,59.53,19.48,,
294,08/02/2025 22:05:44,27.08,62.37,19.29,,
295,08/02/2025 23:05:44,26.44,64.99,19.35,,
296,08/03/2025 00:05:44,25.84,67.14,19.30,,
297,08/03/2025 01:05:44,25.21,68.83,19.10,,
298,08/03/2025 02:05:44,24.69,70.42,18.97,,
299,08/03/2025 03:05:44,24.27,72.56,19.04,,
300,08/03/2025 04:05:44,23.80,73.79,18.86,,
301,08/03/2025 05:05:44,23.47,74.88,18.79,,
302,08/03/2025 06:05:44,23.35,74.98,18.69,,
303,08/03/2025 07:05:44,23.25,74.74,18.54,,
304,08/03/2025 08:05:44,23.30,73.30,18.28,,
305,08/03/2025 09:05:44,23.70,73.74,18.76,,
306,08/03/2025 10:05:44,24.69,70.47,18.98,,
307,08/03/2025 11:05:44,26.26,67.68,19.83,,
308,08/03/2025 12:05:44,27.15,63.46,19.64,,
309,08/03/2025 13:05:44,29.08,58.24,20.07,,
310,08/03/2025 14:05:44,31.66,52.80,20.87,,
311,08/03/2025 15:05:44,33.00,50.90,21.50,,
312,08/03/2025 16:05:44,34.26,47.96,21.68,,
313,08/03/2025 17:05:44,35.43,45.64,21.93,,
314,08/03/2025 18:05:44,33.99,46.52,20.94,,
315,08/03/2025 19:05:44,31.50,51.66,20.36,,
316,08/03/2025 20:05:44,29.59,56.82,20.14,,
317,08/03/2025 21:05:44,27.77,62.98,20.10,,
318,08/03/2025 22:05:44,26.63,66.51,19.90,,
319,08/03/2025 23:05:44,25.81,68.40,19.57,,
320,08/04/2025 00:05:44,25.28,69.42,19.30,,
321,08/04/2025 01:05:44,24.60,72.83,19.42,,
322,08/04/2025 02:05:44,23.98,74.82,19.26,,
323,08/04/2025 03:05:44,23.58,77.43,19.42,,
324,08/04/2025 04:05:44,23.16,77.46,19.03,,
325,08/04/2025 05:05:44,22.80,79.10,19.02,,
326,08/04/2025 06:05:44,22.47,80.35,18.94,,
327,08/04/2025 07:05:44,22.22,81.38,18.90,,
328,08/04/2025 08:05:44,22.19,82.02,19.00,,
329,08/04/2025 09:05:44,22.94,81.49,19.62,,
330,08/04/2025 10:05:44,24.72,77.55,20.56,,
331,08/04/2025 11:05:44,28.13,67.79,21.64,,
332,08/04/2025 12:05:44,30.37,59.64,21.66,,
333,08/04/2025 13:05:44,33.72,51.88,22.48,,
334,08/04/2025 14:05:44,35.46,48.73,23.04,,
335,08/04/2025 15:05:44,36.44,46.27,23.07,,
336,08/04/2025 16:05:44,36.86,44.24,22.70,,
337,08/04/2025 17:05:44,36.38,42.97,21.80,,
338,08/04/2025 18:05:44,35.00,47.02,22.03,,
339,08/04/2025 19:05:44,32.50,50.95,21.06,,
340,08/04/2025 20:05:44,30.19,56.89,20.72,,
341,08/04/2025 21:05:44,28.69,61.46,20.57,,
342,08/04/2025 22:05:44,27.62,64.83,20.42,,
343,08/04/2025 23:05:44,26.95,67.69,20.49,,
344,08/05/2025 00:05:44,26.36,69.51,20.36,,
345,08/05/2025 01:05:44,25.90,71.13,20.29,,
346,08/05/2025 02:05:44,25.31,72.75,20.09,,
347,08/05/2025 03:05:44,24.66,75.32,20.03,,
348,08/05/2025 04:05:44,24.08,77.88,20.00,,
349,08/05/2025 05:05:44,23.58,79.95,19.95,,
350,08/05/2025 06:05:44,23.25,80.20,19.67,,
351,08/05/2025 07:05:44,22.91,81.01,19.50,,
352,08/05/2025 08:05:44,22.76,82.50,19.65,,
353,08/05/2025 09:05:44,23.34,82.27,20.17,,
354,08/05/2025 10:05:44,25.42,74.30,20.54,,
355,08/05/2025 11:05:44,28.52,64.47,21.19,,
356,08/05/2025 12:05:44,30.68,57.25,21.28,,
357,08/05/2025 13:05:44,33.52,49.60,21.56,,
358,08/05/2025 14:05:44,35.55,45.26,21.90,,
359,08/05/2025 15:05:44,37.00,41.24,21.68,,
360,08/05/2025 16:05:44,37.48,37.36,20.49,,
361,08/05/2025 17:05:44,37.06,37.83,20.32,,
362,08/05/2025 18:05:44,35.39,39.69,19.62,,
363,08/05/2025 19:05:44,32.46,43.95,18.63,,
364,08/05/2025 20:05:44,30.43,49.64,18.74,,
365,08/05/2025 21:05:44,29.01,52.42,18.31,,
366,08/05/2025 22:05:44,27.90,55.28,18.12,,
367,08/05/2025 23:05:44,27.03,57.14,17.84,,
368,08/06/2025 00:05:44,26.35,58.56,17.60,,
369,08/06/2025 01:05:44,25.65,58.26,16.86,,
370,08/06/2025 02:05:44,25.06,60.56,16.92,,
371,08/06/2025 03:05:44,24.56,62.82,17.03,,
372,08/06/2025 04:05:44,24.14,64.21,16.98,,
373,08/06/2025 05:05:44,23.73,65.37,16.87,,
374,08/06/2025 06:05:44,23.44,66.15,16.79,,
375,08/06/2025 07:05:44,23.12,67.13,16.71,,
376,08/06/2025 08:05:44,22.91,68.61,16.85,,
377,08/06/2025 09:05:44,23.58,67.86,17.32,,
378,08/06/2025 10:05:44,25.72,63.87,18.39,,
379,08/06/2025 11:05:44,29.17,55.93,19.49,,
380,08/06/2025 12:05:44,31.05,52.17,20.11,,
381,08/06/2025 12:54:49,,,,Logged,
382,08/06/2025 13:05:44,33.30,47.71,20.72,,
383,08/06/2025 14:05:44,35.41,38.16,19.00,,
384,08/06/2025 15:05:44,36.05,34.71,18.06,,
385,08/06/2025 16:05:44,36.31,36.07,18.90,,
386,08/06/2025 17:05:44,35.64,36.05,18.30,,
387,08/06/2025 18:05:44,33.85,39.55,18.20,,
388,08/06/2025 19:05:44,30.61,46.03,17.71,,
389,08/06/2025 20:05:44,28.77,49.74,17.25,,
390,08/06/2025 21:05:44,27.89,50.00,16.53,,
391,08/06/2025 22:05:44,26.91,53.51,16.70,,
392,08/06/2025 23:05:44,26.38,55.37,16.74,,
393,08/07/2025 00:05:44,25.54,57.02,16.42,,
394,08/07/2025 01:05:44,25.10,60.13,16.84,,
395,08/07/2025 02:05:44,24.69,61.16,16.73,,
396,08/07/2025 03:05:44,24.18,62.03,16.47,,
397,08/07/2025 04:05:44,23.66,63.25,16.29,,
398,08/07/2025 05:05:44,23.64,62.07,15.97,,
399,08/07/2025 06:05:44,23.26,62.03,15.60,,
400,08/07/2025 07:05:44,22.96,63.39,15.66,,
401,08/07/2025 08:05:44,22.88,64.09,15.76,,
402,08/07/2025 09:05:44,23.92,65.81,17.16,,
403,08/07/2025 10:05:44,26.41,59.10,17.80,,
404,08/07/2025 11:05:44,30.16,53.19,19.60,,
405,08/07/2025 12:05:44,31.82,47.60,19.33,,
406,08/07/2025 13:05:44,35.37,34.84,17.52,,
407,08/07/2025 14:05:44,38.46,29.59,17.60,,
408,08/07/2025 15:05:44,38.77,26.90,16.36,,
409,08/07/2025 16:05:44,37.03,32.73,17.97,,
410,08/07/2025 17:05:44,35.91,33.32,17.28,,
411,08/07/2025 18:05:44,32.88,43.64,18.90,,
412,08/07/2025 19:05:44,28.87,51.05,17.75,,
413,08/07/2025 20:05:44,26.38,60.06,18.03,,
414,08/07/2025 21:05:44,25.58,61.53,17.66,,
415,08/07/2025 22:05:44,25.19,61.42,17.27,,
416,08/07/2025 23:05:44,24.85,62.39,17.19,,
417,08/08/2025 00:05:44,24.56,63.71,17.25,,
418,08/08/2025 01:05:44,24.65,62.06,16.92,,
419,08/08/2025 02:05:44,24.65,61.31,16.72,,
420,08/08/2025 03:05:44,24.44,60.70,16.37,,
421,08/08/2025 04:05:44,23.63,63.53,16.33,,
422,08/08/2025 05:05:44,22.89,66.89,16.43,,
423,08/08/2025 06:05:44,22.48,68.65,16.45,,
424,08/08/2025 07:05:44,22.22,70.58,16.64,,
425,08/08/2025 08:05:44,22.32,70.55,16.73,,
426,08/08/2025 09:05:44,23.15,69.97,17.39,,
427,08/08/2025 10:05:44,24.72,67.11,18.23,,
428,08/08/2025 11:05:44,27.69,58.73,18.90,,
429,08/08/2025 12:05:44,31.33,48.82,19.30,,
430,08/08/2025 13:05:44,33.30,42.87,18.99,,
431,08/08/2025 14:05:44,34.51,34.45,16.58,,
432,08/08/2025 15:05:44,35.96,30.29,15.82,,
433,08/08/2025 16:05:44,36.18,28.58,15.10,,
434,08/08/2025 17:05:44,35.90,33.45,17.34,,
435,08/08/2025 18:05:44,33.66,38.47,17.59,,
436,08/08/2025 19:05:44,28.93,50.70,17.70,,
437,08/08/2025 20:05:44,26.30,57.29,17.20,,
438,08/08/2025 21:05:44,25.42,57.64,16.48,,
439,08/08/2025 22:05:44,24.83,58.28,16.10,,
440,08/08/2025 23:05:44,24.56,59.69,16.22,,
441,08/09/2025 00:05:44,24.43,60.26,16.25,,
442,08/09/2025 01:05:44,24.54,61.55,16.69,,
443,08/09/2025 02:05:44,24.69,59.97,16.42,,
444,08/09/2025 03:05:44,24.44,60.74,16.38,,
445,08/09/2025 04:05:44,23.58,62.12,15.92,,
446,08/09/2025 05:05:44,22.87,64.10,15.74,,
447,08/09/2025 06:05:44,22.89,65.89,16.20,,
448,08/09/2025 07:05:44,22.86,66.45,16.30,,
449,08/09/2025 08:05:44,22.90,66.62,16.38,,
450,08/09/2025 09:05:44,23.24,66.69,16.72,,
451,08/09/2025 10:05:44,24.69,64.50,17.57,,
452,08/09/2025 11:05:44,27.09,58.74,18.34,,
453,08/09/2025 12:05:44,28.08,57.69,18.97,,
454,08/09/2025 13:05:44,32.64,44.23,18.90,,
455,08/09/2025 14:05:44,35.53,36.01,18.18,,
456,08/09/2025 15:05:44,37.41,34.21,19.01,,
457,08/09/2025 16:05:44,36.19,32.83,17.29,,
458,08/09/2025 17:05:44,35.53,31.28,15.96,,
459,08/09/2025 18:05:44,31.95,40.90,17.04,,
460,08/09/2025 19:05:44,27.90,51.49,16.99,,
461,08/09/2025 20:05:44,26.30,55.06,16.58,,
462,08/09/2025 21:05:44,25.49,57.64,16.55,,
463,08/09/2025 22:05:44,25.38,56.61,16.16,,
464,08/09/2025 23:05:44,24.90,55.75,15.47,,
465,08/10/2025 00:05:44,24.36,56.85,15.28,,
466,08/10/2025 01:05:44,24.35,57.84,15.53,,
467,08/10/2025 02:05:44,24.49,56.99,15.43,,
468,08/10/2025 03:05:44,24.19,58.39,15.52,,
469,08/10/2025 04:05:44,23.62,59.21,15.21,,
470,08/10/2025 05:05:44,23.23,59.92,15.03,,
471,08/10/2025 06:05:44,22.55,63.26,15.23,,
472,08/10/2025 07:05:44,21.96,66.66,15.49,,
473,08/10/2025 08:05:44,21.96,66.43,15.44,,
474,08/10/2025 09:05:44,22.84,65.97,16.17,,
475,08/10/2025 10:05:44,24.40,63.70,17.10,,
476,08/10/2025 11:05:44,26.48,60.62,18.27,,
477,08/10/2025 12:05:44,27.05,59.00,18.37,,
478,08/10/2025 13:05:44,32.19,46.65,19.35,,
479,08/10/2025 14:05:44,33.62,41.77,18.87,,
