shade_00s_70s,phosphorous_p1-p4,c3_c4,species_code,usda_code,block,rep,individual,id_v0,id_v0_noncat,id_barcode_v0,,
70s,p1,c3,diac,diac2,1,1,39,70s-p1-c3-diac-1-39,70s-p1-c3-diac-1-39,*70s-p1-c3-diac-1-39*,,*
70s,p1,c3,diol,diol,1,1,40,70s-p1-c3-diol-1-40,70s-p1-c3-diol-1-40,*70s-p1-c3-diol-1-40*,,*
70s,p2,c4,pavi,pavi2,1,1,41,70s-p2-c4-pavi-1-41,70s-p2-c4-pavi-1-41,*70s-p2-c4-pavi-1-41*,,*
70s,p2,c4,paha,paha,1,1,42,70s-p2-c4-paha-1-42,70s-p2-c4-paha-1-42,*70s-p2-c4-paha-1-42*,,*
70s,p2,c4,paan,paan4,1,1,43,70s-p2-c4-paan-1-43,70s-p2-c4-paan-1-43,*70s-p2-c4-paan-1-43*,,*
70s,p2,c4,paco,paco2,1,1,44,70s-p2-c4-paco-1-44,70s-p2-c4-paco-1-44,*70s-p2-c4-paco-1-44*,,*
70s,p2,c3,dicl,dicl,1,1,45,70s-p2-c3-dicl-1-45,70s-p2-c3-dicl-1-45,*70s-p2-c3-dicl-1-45*,,*
70s,p2,c3,patr,patr3,1,1,46,70s-p2-c3-patr-1-46,70s-p2-c3-patr-1-46,*70s-p2-c3-patr-1-46*,,*
70s,p2,c3,diac,diac2,1,1,47,70s-p2-c3-diac-1-47,70s-p2-c3-diac-1-47,*70s-p2-c3-diac-1-47*,,*
70s,p2,c3,diol,diol,1,1,48,70s-p2-c3-diol-1-48,70s-p2-c3-diol-1-48,*70s-p2-c3-diol-1-48*,,*
70s,p3,c4,pavi,pavi2,1,1,49,70s-p3-c4-pavi-1-49,70s-p3-c4-pavi-1-49,*70s-p3-c4-pavi-1-49*,,*
70s,p3,c4,paha,paha,1,1,50,70s-p3-c4-paha-1-50,70s-p3-c4-paha-1-50,*70s-p3-c4-paha-1-50*,,*
70s,p3,c4,paan,paan4,1,1,51,70s-p3-c4-paan-1-51,70s-p3-c4-paan-1-51,*70s-p3-c4-paan-1-51*,,*
70s,p3,c4,paco,paco2,1,1,52,70s-p3-c4-paco-1-52,70s-p3-c4-paco-1-52,*70s-p3-c4-paco-1-52*,,*
70s,p3,c3,dicl,dicl,1,1,53,70s-p3-c3-dicl-1-53,70s-p3-c3-dicl-1-53,*70s-p3-c3-dicl-1-53*,,*
70s,p3,c3,patr,patr3,1,1,54,70s-p3-c3-patr-1-54,70s-p3-c3-patr-1-54,*70s-p3-c3-patr-1-54*,,*
70s,p3,c3,diac,diac2,1,1,55,70s-p3-c3-diac-1-55,70s-p3-c3-diac-1-55,*70s-p3-c3-diac-1-55*,,*
70s,p3,c3,diol,diol,1,1,56,70s-p3-c3-diol-1-56,70s-p3-c3-diol-1-56,*70s-p3-c3-diol-1-56*,,*
70s,p4,c4,pavi,pavi2,1,1,57,70s-p4-c4-pavi-1-57,70s-p4-c4-pavi-1-57,*70s-p4-c4-pavi-1-57*,,*
70s,p4,c4,paha,paha,1,1,58,70s-p4-c4-paha-1-58,70s-p4-c4-paha-1-58,*70s-p4-c4-paha-1-58*,,*
70s,p4,c4,paan,paan4,1,1,59,70s-p4-c4-paan-1-59,70s-p4-c4-paan-1-59,*70s-p4-c4-paan-1-59*,,*
70s,p4,c4,paco,paco2,1,1,60,70s-p4-c4-paco-1-60,70s-p4-c4-paco-1-60,*70s-p4-c4-paco-1-60*,,*
70s,p4,c3,dicl,dicl,1,1,61,70s-p4-c3-dicl-1-61,70s-p4-c3-dicl-1-61,*70s-p4-c3-dicl-1-61*,,*
70s,p4,c3,patr,patr3,1,1,62,70s-p4-c3-patr-1-62,70s-p4-c3-patr-1-62,*70s-p4-c3-patr-1-62*,,*
70s,p4,c3,diac,diac2,1,1,63,70s-p4-c3-diac-1-63,70s-p4-c3-diac-1-63,*70s-p4-c3-diac-1-63*,,*
70s,p4,c3,diol,diol,1,1,64,70s-p4-c3-diol-1-64,70s-p4-c3-diol-1-64,*70s-p4-c3-diol-1-64*,,*
00s,p1,c4,pavi,pavi2,2,2,65,00s-p1-c4-pavi-2-65,00s-p1-c4-pavi-2-65,*00s-p1-c4-pavi-2-65*,,*
00s,p1,c4,paha,paha,2,2,66,00s-p1-c4-paha-2-66,00s-p1-c4-paha-2-66,*00s-p1-c4-paha-2-66*,,*
00s,p1,c4,paan,paan4,2,2,67,00s-p1-c4-paan-2-67,00s-p1-c4-paan-2-67,*00s-p1-c4-paan-2-67*,,*
00s,p1,c4,paco,paco2,2,2,68,00s-p1-c4-paco-2-68,00s-p1-c4-paco-2-68,*00s-p1-c4-paco-2-68*,,*
00s,p1,c3,dicl,dicl,2,2,69,00s-p1-c3-dicl-2-69,00s-p1-c3-dicl-2-69,*00s-p1-c3-dicl-2-69*,,*
00s,p1,c3,patr,patr3,2,2,70,00s-p1-c3-patr-2-70,00s-p1-c3-patr-2-70,*00s-p1-c3-patr-2-70*,,*
00s,p1,c3,diac,diac2,2,2,71,00s-p1-c3-diac-2-71,00s-p1-c3-diac-2-71,*00s-p1-c3-diac-2-71*,,*
00s,p1,c3,diol,diol,2,2,72,00s-p1-c3-diol-2-72,00s-p1-c3-diol-2-72,*00s-p1-c3-diol-2-72*,,*
00s,p2,c4,pavi,pavi2,2,2,73,00s-p2-c4-pavi-2-73,00s-p2-c4-pavi-2-73,*00s-p2-c4-pavi-2-73*,,*
00s,p2,c4,paha,paha,2,2,74,00s-p2-c4-paha-2-74,00s-p2-c4-paha-2-74,*00s-p2-c4-paha-2-74*,,*
00s,p2,c4,paan,paan4,2,2,75,00s-p2-c4-paan-2-75,00s-p2-c4-paan-2-75,*00s-p2-c4-paan-2-75*,,*
00s,p2,c4,paco,paco2,2,2,76,00s-p2-c4-paco-2-76,00s-p2-c4-paco-2-76,*00s-p2-c4-paco-2-76*,,*
00s,p2,c3,dicl,dicl,2,2,77,00s-p2-c3-dicl-2-77,00s-p2-c3-dicl-2-77,*00s-p2-c3-dicl-2-77*,,*
00s,p2,c3,patr,patr3,2,2,78,00s-p2-c3-patr-2-78,00s-p2-c3-patr-2-78,*00s-p2-c3-patr-2-78*,,*
00s,p2,c3,diac,diac2,2,2,79,00s-p2-c3-diac-2-79,00s-p2-c3-diac-2-79,*00s-p2-c3-diac-2-79*,,*
00s,p2,c3,diol,diol,2,2,80,00s-p2-c3-diol-2-80,00s-p2-c3-diol-2-80,*00s-p2-c3-diol-2-80*,,*
00s,p3,c4,pavi,pavi2,2,2,81,00s-p3-c4-pavi-2-81,00s-p3-c4-pavi-2-81,*00s-p3-c4-pavi-2-81*,,*
00s,p3,c4,paha,paha,2,2,82,00s-p3-c4-paha-2-82,00s-p3-c4-paha-2-82,*00s-p3-c4-paha-2-82*,,*
00s,p3,c4,paan,paan4,2,2,83,00s-p3-c4-paan-2-83,00s-p3-c4-paan-2-83,*00s-p3-c4-paan-2-83*,,*
00s,p3,c4,paco,paco2,2,2,84,00s-p3-c4-paco-2-84,00s-p3-c4-paco-2-84,*00s-p3-c4-paco-2-84*,,*
00s,p3,c3,dicl,dicl,2,2,85,00s-p3-c3-dicl-2-85,00s-p3-c3-dicl-2-85,*00s-p3-c3-dicl-2-85*,,*
00s,p3,c3,patr,patr3,2,2,86,00s-p3-c3-patr-2-86,00s-p3-c3-patr-2-86,*00s-p3-c3-patr-2-86*,,*
00s,p3,c3,diac,diac2,2,2,87,00s-p3-c3-diac-2-87,00s-p3-c3-diac-2-87,*00s-p3-c3-diac-2-87*,,*
00s,p3,c3,diol,diol,2,2,88,00s-p3-c3-diol-2-88,00s-p3-c3-diol-2-88,*00s-p3-c3-diol-2-88*,,*
00s,p4,c4,pavi,pavi2,2,2,89,00s-p4-c4-pavi-2-89,00s-p4-c4-pavi-2-89,*00s-p4-c4-pavi-2-89*,,*
00s,p4,c4,paha,paha,2,2,90,00s-p4-c4-paha-2-90,00s-p4-c4-paha-2-90,*00s-p4-c4-paha-2-90*,,*
00s,p4,c4,paan,paan4,2,2,91,00s-p4-c4-paan-2-91,00s-p4-c4-paan-2-91,*00s-p4-c4-paan-2-91*,,*
00s,p4,c4,paco,paco2,2,2,92,00s-p4-c4-paco-2-92,00s-p4-c4-paco-2-92,*00s-p4-c4-paco-2-92*,,*
00s,p4,c3,dicl,dicl,2,2,93,00s-p4-c3-dicl-2-93,00s-p4-c3-dicl-2-93,*00s-p4-c3-dicl-2-93*,,*
00s,p4,c3,patr,patr3,2,2,94,00s-p4-c3-patr-2-94,00s-p4-c3-patr-2-94,*00s-p4-c3-patr-2-94*,,*
00s,p4,c3,diac,diac2,2,2,95,00s-p4-c3-diac-2-95,00s-p4-c3-diac-2-95,*00s-p4-c3-diac-2-95*,,*
00s,p4,c3,diol,diol,2,2,96,00s-p4-c3-diol-2-96,00s-p4-c3-diol-2-96,*00s-p4-c3-diol-2-96*,,*
70s,p1,c4,pavi,pavi2,2,2,97,70s-p1-c4-pavi-2-97,70s-p1-c4-pavi-2-97,*70s-p1-c4-pavi-2-97*,,*
70s,p1,c4,paha,paha,2,2,98,70s-p1-c4-paha-2-98,70s-p1-c4-paha-2-98,*70s-p1-c4-paha-2-98*,,*
70s,p1,c4,paan,paan4,2,2,99,70s-p1-c4-paan-2-99,70s-p1-c4-paan-2-99,*70s-p1-c4-paan-2-99*,,*
70s,p1,c4,paco,paco2,2,2,100,70s-p1-c4-paco-2-100,70s-p1-c4-paco-2-100,*70s-p1-c4-paco-2-100*,,*
70s,p1,c3,dicl,dicl,2,2,101,70s-p1-c3-dicl-2-101,70s-p1-c3-dicl-2-101,*70s-p1-c3-dicl-2-101*,,*
70s,p1,c3,patr,patr3,2,2,102,70s-p1-c3-patr-2-102,70s-p1-c3-patr-2-102,*70s-p1-c3-patr-2-102*,,*
70s,p1,c3,diac,diac2,2,2,103,70s-p1-c3-diac-2-103,70s-p1-c3-diac-2-103,*70s-p1-c3-diac-2-103*,,*
70s,p1,c3,diol,diol,2,2,104,70s-p1-c3-diol-2-104,70s-p1-c3-diol-2-104,*70s-p1-c3-diol-2-104*,,*
70s,p2,c4,pavi,pavi2,2,2,105,70s-p2-c4-pavi-2-105,70s-p2-c4-pavi-2-105,*70s-p2-c4-pavi-2-105*,,*
70s,p2,c4,paha,paha,2,2,106,70s-p2-c4-paha-2-106,70s-p2-c4-paha-2-106,*70s-p2-c4-paha-2-106*,,*
70s,p2,c4,paan,paan4,2,2,107,70s-p2-c4-paan-2-107,70s-p2-c4-paan-2-107,*70s-p2-c4-paan-2-107*,,*
70s,p2,c4,paco,paco2,2,2,108,70s-p2-c4-paco-2-108,70s-p2-c4-paco-2-108,*70s-p2-c4-paco-2-108*,,*
70s,p2,c3,dicl,dicl,2,2,109,70s-p2-c3-dicl-2-109,70s-p2-c3-dicl-2-109,*70s-p2-c3-dicl-2-109*,,*
70s,p2,c3,patr,patr3,2,2,110,70s-p2-c3-patr-2-110,70s-p2-c3-patr-2-110,*70s-p2-c3-patr-2-110*,,*
70s,p2,c3,diac,diac2,2,2,111,70s-p2-c3-diac-2-111,70s-p2-c3-diac-2-111,*70s-p2-c3-diac-2-111*,,*
70s,p2,c3,diol,diol,2,2,112,70s-p2-c3-diol-2-112,70s-p2-c3-diol-2-112,*70s-p2-c3-diol-2-112*,,*
70s,p3,c4,pavi,pavi2,2,2,113,70s-p3-c4-pavi-2-113,70s-p3-c4-pavi-2-113,*70s-p3-c4-pavi-2-113*,,*
70s,p3,c4,paha,paha,2,2,114,70s-p3-c4-paha-2-114,70s-p3-c4-paha-2-114,*70s-p3-c4-paha-2-114*,,*
70s,p3,c4,paan,paan4,2,2,115,70s-p3-c4-paan-2-115,70s-p3-c4-paan-2-115,*70s-p3-c4-paan-2-115*,,*
70s,p3,c4,paco,paco2,2,2,116,70s-p3-c4-paco-2-116,70s-p3-c4-paco-2-116,*70s-p3-c4-paco-2-116*,,*
70s,p3,c3,dicl,dicl,2,2,117,70s-p3-c3-dicl-2-117,70s-p3-c3-dicl-2-117,*70s-p3-c3-dicl-2-117*,,*
70s,p3,c3,patr,patr3,2,2,118,70s-p3-c3-patr-2-118,70s-p3-c3-patr-2-118,*70s-p3-c3-patr-2-118*,,*
70s,p3,c3,diac,diac2,2,2,119,70s-p3-c3-diac-2-119,70s-p3-c3-diac-2-119,*70s-p3-c3-diac-2-119*,,*
70s,p3,c3,diol,diol,2,2,120,70s-p3-c3-diol-2-120,70s-p3-c3-diol-2-120,*70s-p3-c3-diol-2-120*,,*
70s,p4,c4,pavi,pavi2,2,2,121,70s-p4-c4-pavi-2-121,70s-p4-c4-pavi-2-121,*70s-p4-c4-pavi-2-121*,,*
70s,p4,c4,paha,paha,2,2,122,70s-p4-c4-paha-2-122,70s-p4-c4-paha-2-122,*70s-p4-c4-paha-2-122*,,*
70s,p4,c4,paan,paan4,2,2,123,70s-p4-c4-paan-2-123,70s-p4-c4-paan-2-123,*70s-p4-c4-paan-2-123*,,*
70s,p4,c4,paco,paco2,2,2,124,70s-p4-c4-paco-2-124,70s-p4-c4-paco-2-124,*70s-p4-c4-paco-2-124*,,*
70s,p4,c3,dicl,dicl,2,2,125,70s-p4-c3-dicl-2-125,70s-p4-c3-dicl-2-125,*70s-p4-c3-dicl-2-125*,,*
70s,p4,c3,patr,patr3,2,2,126,70s-p4-c3-patr-2-126,70s-p4-c3-patr-2-126,*70s-p4-c3-patr-2-126*,,*
70s,p4,c3,diac,diac2,2,2,127,70s-p4-c3-diac-2-127,70s-p4-c3-diac-2-127,*70s-p4-c3-diac-2-127*,,*
70s,p4,c3,diol,diol,2,2,128,70s-p4-c3-diol-2-128,70s-p4-c3-diol-2-128,*70s-p4-c3-diol-2-128*,,*
00s,p1,c4,pavi,pavi2,3,3,129,00s-p1-c4-pavi-3-129,00s-p1-c4-pavi-3-129,*00s-p1-c4-pavi-3-129*,,*
00s,p1,c4,paha,paha,3,3,130,00s-p1-c4-paha-3-130,00s-p1-c4-paha-3-130,*00s-p1-c4-paha-3-130*,,*
00s,p1,c4,paan,paan4,3,3,131,00s-p1-c4-paan-3-131,00s-p1-c4-paan-3-131,*00s-p1-c4-paan-3-131*,,*
00s,p1,c4,paco,paco2,3,3,132,00s-p1-c4-paco-3-132,00s-p1-c4-paco-3-132,*00s-p1-c4-paco-3-132*,,*
00s,p1,c3,dicl,dicl,3,3,133,00s-p1-c3-dicl-3-133,00s-p1-c3-dicl-3-133,*00s-p1-c3-dicl-3-133*,,*
00s,p1,c3,patr,patr3,3,3,134,00s-p1-c3-patr-3-134,00s-p1-c3-patr-3-134,*00s-p1-c3-patr-3-134*,,*
00s,p1,c3,diac,diac2,3,3,135,00s-p1-c3-diac-3-135,00s-p1-c3-diac-3-135,*00s-p1-c3-diac-3-135*,,*
00s,p1,c3,diol,diol,3,3,136,00s-p1-c3-diol-3-136,00s-p1-c3-diol-3-136,*00s-p1-c3-diol-3-136*,,*
00s,p2,c4,pavi,pavi2,3,3,137,00s-p2-c4-pavi-3-137,00s-p2-c4-pavi-3-137,*00s-p2-c4-pavi-3-137*,,*
00s,p2,c4,paha,paha,3,3,138,00s-p2-c4-paha-3-138,00s-p2-c4-paha-3-138,*00s-p2-c4-paha-3-138*,,*
00s,p2,c4,paan,paan4,3,3,139,00s-p2-c4-paan-3-139,00s-p2-c4-paan-3-139,*00s-p2-c4-paan-3-139*,,*
00s,p2,c4,paco,paco2,3,3,140,00s-p2-c4-paco-3-140,00s-p2-c4-paco-3-140,*00s-p2-c4-paco-3-140*,,*
00s,p2,c3,dicl,dicl,3,3,141,00s-p2-c3-dicl-3-141,00s-p2-c3-dicl-3-141,*00s-p2-c3-dicl-3-141*,,*
00s,p2,c3,patr,patr3,3,3,142,00s-p2-c3-patr-3-142,00s-p2-c3-patr-3-142,*00s-p2-c3-patr-3-142*,,*
00s,p2,c3,diac,diac2,3,3,143,00s-p2-c3-diac-3-143,00s-p2-c3-diac-3-143,*00s-p2-c3-diac-3-143*,,*
00s,p2,c3,diol,diol,3,3,144,00s-p2-c3-diol-3-144,00s-p2-c3-diol-3-144,*00s-p2-c3-diol-3-144*,,*
00s,p3,c4,pavi,pavi2,3,3,145,00s-p3-c4-pavi-3-145,00s-p3-c4-pavi-3-145,*00s-p3-c4-pavi-3-145*,,*
00s,p3,c4,paha,paha,3,3,146,00s-p3-c4-paha-3-146,00s-p3-c4-paha-3-146,*00s-p3-c4-paha-3-146*,,*
00s,p3,c4,paan,paan4,3,3,147,00s-p3-c4-paan-3-147,00s-p3-c4-paan-3-147,*00s-p3-c4-paan-3-147*,,*
00s,p3,c4,paco,paco2,3,3,148,00s-p3-c4-paco-3-148,00s-p3-c4-paco-3-148,*00s-p3-c4-paco-3-148*,,*
00s,p3,c3,dicl,dicl,3,3,149,00s-p3-c3-dicl-3-149,00s-p3-c3-dicl-3-149,*00s-p3-c3-dicl-3-149*,,*
00s,p3,c3,patr,patr3,3,3,150,00s-p3-c3-patr-3-150,00s-p3-c3-patr-3-150,*00s-p3-c3-patr-3-150*,,*
00s,p3,c3,diac,diac2,3,3,151,00s-p3-c3-diac-3-151,00s-p3-c3-diac-3-151,*00s-p3-c3-diac-3-151*,,*
00s,p3,c3,diol,diol,3,3,152,00s-p3-c3-diol-3-152,00s-p3-c3-diol-3-152,*00s-p3-c3-diol-3-152*,,*
00s,p4,c4,pavi,pavi2,3,3,153,00s-p4-c4-pavi-3-153,00s-p4-c4-pavi-3-153,*00s-p4-c4-pavi-3-153*,,*
00s,p4,c4,paha,paha,3,3,154,00s-p4-c4-paha-3-154,00s-p4-c4-paha-3-154,*00s-p4-c4-paha-3-154*,,*
00s,p4,c4,paan,paan4,3,3,155,00s-p4-c4-paan-3-155,00s-p4-c4-paan-3-155,*00s-p4-c4-paan-3-155*,,*
00s,p4,c4,paco,paco2,3,3,156,00s-p4-c4-paco-3-156,00s-p4-c4-paco-3-156,*00s-p4-c4-paco-3-156*,,*
00s,p4,c3,dicl,dicl,3,3,157,00s-p4-c3-dicl-3-157,00s-p4-c3-dicl-3-157,*00s-p4-c3-dicl-3-157*,,*
00s,p4,c3,patr,patr3,3,3,158,00s-p4-c3-patr-3-158,00s-p4-c3-patr-3-158,*00s-p4-c3-patr-3-158*,,*
00s,p4,c3,diac,diac2,3,3,159,00s-p4-c3-diac-3-159,00s-p4-c3-diac-3-159,*00s-p4-c3-diac-3-159*,,*
00s,p4,c3,diol,diol,3,3,160,00s-p4-c3-diol-3-160,00s-p4-c3-diol-3-160,*00s-p4-c3-diol-3-160*,,*
70s,p1,c4,pavi,pavi2,3,3,161,70s-p1-c4-pavi-3-161,70s-p1-c4-pavi-3-161,*70s-p1-c4-pavi-3-161*,,*
70s,p1,c4,paha,paha,3,3,162,70s-p1-c4-paha-3-162,70s-p1-c4-paha-3-162,*70s-p1-c4-paha-3-162*,,*
70s,p1,c4,paan,paan4,3,3,163,70s-p1-c4-paan-3-163,70s-p1-c4-paan-3-163,*70s-p1-c4-paan-3-163*,,*
70s,p1,c4,paco,paco2,3,3,164,70s-p1-c4-paco-3-164,70s-p1-c4-paco-3-164,*70s-p1-c4-paco-3-164*,,*
70s,p1,c3,dicl,dicl,3,3,165,70s-p1-c3-dicl-3-165,70s-p1-c3-dicl-3-165,*70s-p1-c3-dicl-3-165*,,*
70s,p1,c3,patr,patr3,3,3,166,70s-p1-c3-patr-3-166,70s-p1-c3-patr-3-166,*70s-p1-c3-patr-3-166*,,*
70s,p1,c3,diac,diac2,3,3,167,70s-p1-c3-diac-3-167,70s-p1-c3-diac-3-167,*70s-p1-c3-diac-3-167*,,*
70s,p1,c3,diol,diol,3,3,168,70s-p1-c3-diol-3-168,70s-p1-c3-diol-3-168,*70s-p1-c3-diol-3-168*,,*
70s,p2,c4,pavi,pavi2,3,3,169,70s-p2-c4-pavi-3-169,70s-p2-c4-pavi-3-169,*70s-p2-c4-pavi-3-169*,,*
70s,p2,c4,paha,paha,3,3,170,70s-p2-c4-paha-3-170,70s-p2-c4-paha-3-170,*70s-p2-c4-paha-3-170*,,*
70s,p2,c4,paan,paan4,3,3,171,70s-p2-c4-paan-3-171,70s-p2-c4-paan-3-171,*70s-p2-c4-paan-3-171*,,*
70s,p2,c4,paco,paco2,3,3,172,70s-p2-c4-paco-3-172,70s-p2-c4-paco-3-172,*70s-p2-c4-paco-3-172*,,*
70s,p2,c3,dicl,dicl,3,3,173,70s-p2-c3-dicl-3-173,70s-p2-c3-dicl-3-173,*70s-p2-c3-dicl-3-173*,,*
70s,p2,c3,patr,patr3,3,3,174,70s-p2-c3-patr-3-174,70s-p2-c3-patr-3-174,*70s-p2-c3-patr-3-174*,,*
70s,p2,c3,diac,diac2,3,3,175,70s-p2-c3-diac-3-175,70s-p2-c3-diac-3-175,*70s-p2-c3-diac-3-175*,,*
70s,p2,c3,diol,diol,3,3,176,70s-p2-c3-diol-3-176,70s-p2-c3-diol-3-176,*70s-p2-c3-diol-3-176*,,*
70s,p3,c4,pavi,pavi2,3,3,177,70s-p3-c4-pavi-3-177,70s-p3-c4-pavi-3-177,*70s-p3-c4-pavi-3-177*,,*
70s,p3,c4,paha,paha,3,3,178,70s-p3-c4-paha-3-178,70s-p3-c4-paha-3-178,*70s-p3-c4-paha-3-178*,,*
70s,p3,c4,paan,paan4,3,3,179,70s-p3-c4-paan-3-179,70s-p3-c4-paan-3-179,*70s-p3-c4-paan-3-179*,,*
70s,p3,c4,paco,paco2,3,3,180,70s-p3-c4-paco-3-180,70s-p3-c4-paco-3-180,*70s-p3-c4-paco-3-180*,,*
70s,p3,c3,dicl,dicl,3,3,181,70s-p3-c3-dicl-3-181,70s-p3-c3-dicl-3-181,*70s-p3-c3-dicl-3-181*,,*
70s,p3,c3,patr,patr3,3,3,182,70s-p3-c3-patr-3-182,70s-p3-c3-patr-3-182,*70s-p3-c3-patr-3-182*,,*
